corpus,run,fold,score
fisher2,1,6,0.78387650085763294
fisher2,1,7,0.79245283018867929
fisher2,1,8,0.82675814751286447
fisher2,1,9,0.8061749571183533
fisher2,2,0,0.78730703259005141
fisher2,2,1,0.82075471698113212
fisher2,2,2,0.81303602058319036
fisher2,2,3,0.82161234991423671
fisher2,2,4,0.79416809605488847
fisher2,2,5,0.80858369098712446
fisher2,2,6,0.79073756432247
fisher2,2,7,0.80102915951972553
fisher2,2,8,0.80017152658662094
fisher2,2,9,0.80445969125214412
fisher2,3,0,0.79245283018867929
fisher2,3,1,0.807032590051458
fisher2,3,2,0.80017152658662094
fisher2,3,3,0.81046312178387647
fisher2,3,4,0.80874785591766729
fisher2,3,5,0.81974248927038629
fisher2,3,6,0.80360205831903941
fisher2,3,7,0.81560891938250424
fisher2,3,8,0.79416809605488847
fisher2,3,9,0.80874785591766729
fisher2,4,0,0.79502572898799317
fisher2,4,1,0.81989708404802741
fisher2,4,2,0.79931389365351635
fisher2,4,3,0.80874785591766729
fisher2,4,4,0.80274442538593482
fisher2,4,5,0.81545064377682408
fisher2,4,6,0.80102915951972553
fisher2,4,7,0.81303602058319036
fisher2,4,8,0.79759862778730706
fisher2,4,9,0.8061749571183533
fisher2,5,0,0.81046312178387647
fisher2,5,1,0.80360205831903941
fisher2,5,2,0.81132075471698117
fisher2,5,3,0.80102915951972553
fisher2,5,4,0.77958833619210977
fisher2,5,5,0.80257510729613735
fisher2,5,6,0.80017152658662094
fisher2,5,7,0.80445969125214412
fisher2,5,8,0.82418524871355059
fisher2,5,9,0.82504288164665518
fisher2,6,0,0.80360205831903941
fisher2,6,1,0.83104631217838765
fisher2,6,2,0.79759862778730706
fisher2,6,3,0.823327615780446
fisher2,6,4,0.77701543739279588
fisher2,6,5,0.79914163090128754
fisher2,6,6,0.80960548885077188
fisher2,6,7,0.81989708404802741
fisher2,6,8,0.79759862778730706
fisher2,6,9,0.80960548885077188
fisher2,7,0,0.8061749571183533
fisher2,7,1,0.79159519725557459
fisher2,7,2,0.81303602058319036
fisher2,7,3,0.79759862778730706
fisher2,7,4,0.81217838765008576
fisher2,7,5,0.80000000000000004
fisher2,7,6,0.823327615780446
fisher2,7,7,0.80188679245283023
fisher2,7,8,0.81560891938250424
fisher2,7,9,0.80188679245283023
fisher2,8,0,0.80274442538593482
fisher2,8,1,0.80274442538593482
fisher2,8,2,0.81132075471698117
fisher2,8,3,0.83619210977701541
fisher2,8,4,0.77530017152658659
fisher2,8,5,0.80600858369098716
fisher2,8,6,0.78216123499142365
fisher2,8,7,0.81818181818181823
fisher2,8,8,0.80274442538593482
fisher2,8,9,0.80789022298456259
fisher2,9,0,0.78902229845626071
fisher2,9,1,0.80960548885077188
fisher2,9,2,0.82847341337907376
fisher2,9,3,0.79159519725557459
fisher2,9,4,0.80445969125214412
fisher2,9,5,0.81630901287553648
fisher2,9,6,0.81389365351629506
fisher2,9,7,0.80531732418524871
fisher2,9,8,0.8061749571183533
